DateTime,Ticker,Old Balance,Transaction Amount,New Balance
2024-03-14,A,0.0,0.03,0.03
2024-03-14,ABBV,0.0,7510.59,7510.59
2024-03-14,AKAM,0.0,748.31,748.31
2024-03-14,CBOE,0.0,14589.35,14589.35
2024-03-14,CEG,0.0,505.74,505.74
2024-03-14,CI,0.0,0.11,0.11
2024-03-14,COR,0.0,10764.18,10764.18
2024-03-14,DVA,0.0,135.3,135.3
2024-03-14,FANG,0.0,7032.19,7032.19
2024-03-14,FAST,0.0,683.46,683.46
2024-03-14,GRMN,0.0,2235.84,2235.84
2024-03-14,IBM,0.0,2500.26,2500.26
2024-03-14,JNPR,0.0,3121.37,3121.37
2024-03-14,KEY,0.0,0.74,0.74
2024-03-14,LDOS,0.0,2907.55,2907.55
2024-03-14,LLY,0.0,2938.57,2938.57
2024-03-14,MCK,0.0,0.16,0.16
2024-03-14,META,0.0,1722.59,1722.59
2024-03-14,MOH,0.0,2159.85,2159.85
2024-03-14,MPC,0.0,0.31,0.31
2024-03-14,NFLX,0.0,1429.08,1429.08
2024-03-14,NRG,0.0,5996.5,5996.5
2024-03-14,NVDA,0.0,3964.49,3964.49
2024-03-14,NWS,0.0,305.38,305.38
2024-03-14,PGR,0.0,7223.76,7223.76
2024-03-14,PSX,0.0,5855.28,5855.28
2024-03-14,QCOM,0.0,1909.49,1909.49
2024-03-14,RL,0.0,1382.22,1382.22
2024-03-14,STX,0.0,1041.75,1041.75
2024-03-14,T,0.0,286.83,286.83
2024-03-14,TGT,0.0,0.04,0.04
2024-03-14,TSN,0.0,1884.63,1884.63
2024-03-14,UBER,0.0,0.57,0.57
2024-03-14,VLTO,0.0,2090.33,2090.33
2024-03-14,WAT,0.0,3482.24,3482.24
2024-03-14,WDC,0.0,275.61,275.61
2024-03-14,WM,0.0,207.51,207.51
2024-03-14,WRK,0.0,3097.97,3097.97
2024-03-15,A,0.03,-0.02,0.0
2024-03-15,ABBV,7466.59,-532.7,6933.88
2024-03-15,AKAM,746.61,-189.24,557.36
2024-03-15,CB,0.0,77.91,77.91
2024-03-15,CBOE,14733.88,635.19,15369.07
2024-03-15,CEG,504.21,23.1,527.3
2024-03-15,CI,0.11,42.86,42.97
2024-03-15,COR,10643.14,-925.08,9718.05
2024-03-15,DVA,134.39,-112.45,21.93
2024-03-15,FANG,7148.05,-32.22,7115.82
2024-03-15,FAST,681.47,263.53,944.99
2024-03-15,GRMN,2223.34,18.28,2241.61
2024-03-15,HIG,0.0,6.88,6.88
2024-03-15,IBM,2486.61,-122.64,2363.97
2024-03-15,JNPR,3099.35,8.45,3107.79
2024-03-15,KEY,0.75,-0.74,0.0
2024-03-15,LDOS,2917.84,212.75,3130.58
2024-03-15,LLY,2949.82,-70.63,2879.19
2024-03-15,MCK,0.16,-0.15,0.0
2024-03-15,META,1708.19,33.21,1741.39
2024-03-15,MOH,2172.4,15.59,2187.99
2024-03-15,MPC,0.33,674.87,675.19
2024-03-15,NFLX,1425.26,-27.42,1397.84
2024-03-15,NRG,6009.98,-96.22,5913.75
2024-03-15,NVDA,3920.28,51.54,3971.81
2024-03-15,NWS,305.72,15.57,321.28
2024-03-15,PGR,7252.8,-273.86,6978.94
2024-03-15,PSX,6014.93,503.3,6518.22
2024-03-15,QCOM,1867.24,-610.63,1256.6
2024-03-15,RL,1400.29,265.45,1665.73
2024-03-15,STX,1013.85,-491.58,522.26
2024-03-15,T,286.67,-97.65,189.01
2024-03-15,TGT,0.04,-0.03,0.0
2024-03-15,TSN,1900.96,84.33,1985.29
2024-03-15,UBER,0.57,78.77,79.33
2024-03-15,VLTO,2106.17,473.63,2579.8
2024-03-15,WAT,3466.76,16.15,3482.91
2024-03-15,WDC,273.46,387.51,660.96
2024-03-15,WM,207.96,146.42,354.38
2024-03-15,WRK,3097.31,-451.91,2645.4
